can you help us with some information on,I
can you help me with stuff about,I
can you help me with info about,I
can you help us with stuff about,I
can you help us with info about ,I
can you help me with information about,I
can you help us with information about,I
can you help me with some stuff about,I
can you help us with some stuff about,I
can you help me with some information about,I
can you help us with some information about,I
tell me about,I
tell us about,I
teach me about,I
teach us about,I
can you tell me about,I
can you tell us about,I
can you teach me about,I
can you teach us about,I
How much is a,II
 how much are the ,II
what is the difference ,II
Does,II
Is that ,II 
What is happening ,II
what is the ,II
Whats happening with,II
Is it,II
Is ,II
Has ,II
How ,II
Can you give me ,II
What ,II
Any,II
What are your thoughts on,III
What do you think about ,III
Do you think,III
What are people saying about,III
What do people think about,III
What are people saying,III
What are x people saying about,III
What do x people think about,III
How does it work,IV
How does that work,IV
Can you explain how it works,IV
Can you explain how that works?,IV
Can you give me an explanation?,IV
I need an explanation for,IV
Why is it that,IV
Why don’t,IV
Why doesn’t,IV
How is it that,II
Explain how can,IV
How can,II
How do,II
I don't understand,IV
I don't get ,IV
Shouldn't it be ,IV
I need an explanation on,IV
Shouldn't ,IV
Can you explain how,IV
I don't get it,IV
Why can't,IV
Why can ,IV
Can you explain why can,IV
Explain why can,IV
